epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,9,chains,0.1,1,0.9,100.0
-1.0,9,chains,1,1,0.9,100.0
-1.0,9,chains,1,0.9,0.9,100.0
-1.0,9,chains,10,1,0.9,100.0
-1.0,9,chains,10,0.9,0.9,100.0
1.0,9,chains,10,1,0.7,70.0
1.0,9,chains,10,0.9,0.7,70.0
1.0,9,chains,10,1,0.6,70.0
1.0,9,chains,10,0.9,0.6,70.0
1.0,9,chains,10,1,0.9,67.5
2.0,9,chains,10,1,0.9,70.0
2.0,9,chains,10,1,0.8,70.0
2.0,9,chains,10,0.9,0.8,70.0
2.0,9,chains,10,1,0.7,70.0
2.0,9,chains,10,0.9,0.7,70.0
4.0,9,chains,0.1,0.9,0.9,67.5
4.0,9,chains,10,0.9,0.6,67.5
4.0,9,chains,10,1,0.9,65.0
4.0,9,chains,10,0.9,0.9,65.0
4.0,9,chains,10,1,0.8,62.5
8.0,9,chains,0.1,1,0.9,72.5
8.0,9,chains,0.1,0.9,0.9,70.0
8.0,9,chains,0.1,1,0.7,70.0
8.0,9,chains,0.1,1,0.8,67.5
8.0,9,chains,0.1,0.9,0.8,67.5
16.0,9,chains,1,0.9,0.6,65.0
16.0,9,chains,0.1,1,0.9,62.5
16.0,9,chains,1,1,0.9,62.5
16.0,9,chains,1,0.9,0.9,62.5
16.0,9,chains,1,1,0.6,62.5
32.0,9,chains,10,1,0.6,65.0
32.0,9,chains,0.1,1,0.9,62.5
32.0,9,chains,10,1,0.9,62.5
32.0,9,chains,1,0.9,0.7,62.5
32.0,9,chains,10,1,0.7,62.5
