epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
4.0,1,chains,1,1,0.9,65.62
4.0,1,chains,1,1,0.8,59.38
4.0,1,chains,0.1,0.9,0.9,56.25
4.0,1,chains,0.1,0.9,0.8,56.25
4.0,1,chains,1,0.9,0.8,56.25
4.0,2,chains,10,1,0.9,68.75
4.0,2,chains,10,0.9,0.9,68.75
4.0,2,chains,10,1,0.8,68.75
4.0,2,chains,10,0.9,0.8,65.62
4.0,2,chains,10,1,0.7,65.62
4.0,3,chains,1,0.9,0.8,84.38
4.0,3,chains,10,1,0.9,81.25
4.0,3,chains,10,0.9,0.6,81.25
4.0,3,chains,10,1,0.8,78.12
4.0,3,chains,10,0.9,0.8,78.12
4.0,4,chains,10,1,0.9,71.88
4.0,4,chains,10,0.9,0.9,71.88
4.0,4,chains,10,1,0.8,71.88
4.0,4,chains,10,0.9,0.8,71.88
4.0,4,chains,10,1,0.7,71.88
4.0,5,chains,1,0.9,0.9,65.62
4.0,5,chains,10,1,0.9,65.62
4.0,5,chains,1,1,0.8,65.62
4.0,5,chains,1,0.9,0.8,65.62
4.0,5,chains,1,1,0.7,65.62
4.0,6,chains,10,0.9,0.7,81.25
4.0,6,chains,1,0.9,0.6,81.25
4.0,6,chains,10,1,0.6,81.25
4.0,6,chains,10,0.9,0.6,81.25
4.0,6,chains,1,1,0.6,75.0
4.0,7,chains,10,0.9,0.6,93.75
4.0,7,chains,10,0.9,0.9,87.5
4.0,7,chains,10,0.9,0.8,87.5
4.0,7,chains,10,0.9,0.7,87.5
4.0,7,chains,10,1,0.6,75.0
4.0,8,chains,0.1,0.9,0.6,71.88
4.0,8,chains,10,1,0.9,68.75
4.0,8,chains,0.1,0.9,0.7,68.75
4.0,8,chains,10,1,0.7,68.75
4.0,8,chains,10,0.9,0.6,68.75
4.0,9,chains,0.1,1,0.9,56.25
4.0,9,chains,0.1,0.9,0.9,56.25
4.0,9,chains,10,1,0.9,56.25
4.0,9,chains,10,0.9,0.9,56.25
4.0,9,chains,0.1,0.9,0.8,56.25
4.0,10,chains,10,1,0.9,68.75
4.0,10,chains,10,0.9,0.9,68.75
4.0,10,chains,10,1,0.8,68.75
4.0,10,chains,10,0.9,0.8,68.75
4.0,10,chains,10,1,0.7,68.75
4.0,15,chains,10,1,0.9,68.75
4.0,15,chains,10,0.9,0.9,68.75
4.0,15,chains,10,1,0.8,68.75
4.0,15,chains,10,0.9,0.8,68.75
4.0,15,chains,10,1,0.7,68.75
