epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
1.0,1,chains,10,0.9,0.7,77.5
1.0,1,chains,10,0.9,0.6,77.5
1.0,1,chains,10,1,0.6,75.0
1.0,1,chains,10,0.9,0.9,72.5
1.0,1,chains,10,1,0.8,72.5
1.0,2,chains,10,0.9,0.6,80.0
1.0,2,chains,0.1,0.9,0.9,77.5
1.0,2,chains,10,0.9,0.9,77.5
1.0,2,chains,0.1,0.9,0.8,77.5
1.0,2,chains,10,0.9,0.8,77.5
1.0,3,chains,1,0.9,0.9,60.0
1.0,3,chains,10,1,0.9,60.0
1.0,3,chains,10,0.9,0.9,60.0
1.0,3,chains,1,1,0.8,60.0
1.0,3,chains,1,0.9,0.8,60.0
1.0,4,chains,10,0.9,0.7,70.0
1.0,4,chains,10,1,0.6,70.0
1.0,4,chains,10,0.9,0.6,67.5
1.0,4,chains,10,1,0.9,62.5
1.0,4,chains,10,1,0.8,62.5
1.0,5,chains,10,1,0.9,67.5
1.0,5,chains,10,1,0.8,67.5
1.0,5,chains,10,1,0.7,67.5
1.0,5,chains,10,1,0.6,67.5
1.0,5,chains,10,0.9,0.9,65.0
1.0,6,chains,10,1,0.9,82.5
1.0,6,chains,10,0.9,0.9,82.5
1.0,6,chains,10,1,0.8,82.5
1.0,6,chains,10,0.9,0.8,80.0
1.0,6,chains,1,0.9,0.7,77.5
1.0,7,chains,10,1,0.6,75.0
1.0,7,chains,10,1,0.7,72.5
1.0,7,chains,10,0.9,0.6,70.0
1.0,7,chains,10,1,0.8,67.5
1.0,7,chains,10,0.9,0.8,67.5
1.0,8,chains,10,1,0.8,65.0
1.0,8,chains,10,1,0.7,65.0
1.0,8,chains,10,0.9,0.7,65.0
1.0,8,chains,10,1,0.6,65.0
1.0,8,chains,10,0.9,0.6,65.0
1.0,9,chains,10,1,0.7,70.0
1.0,9,chains,10,0.9,0.7,70.0
1.0,9,chains,10,1,0.6,70.0
1.0,9,chains,10,0.9,0.6,70.0
1.0,9,chains,10,1,0.9,67.5
1.0,10,chains,10,1,0.9,80.0
1.0,10,chains,10,0.9,0.9,80.0
1.0,10,chains,10,1,0.8,80.0
1.0,10,chains,10,0.9,0.8,80.0
1.0,10,chains,10,1,0.7,80.0
1.0,15,chains,0.1,1,0.9,72.5
1.0,15,chains,0.1,1,0.8,72.5
1.0,15,chains,10,1,0.6,72.5
1.0,15,chains,0.1,0.9,0.9,70.0
1.0,15,chains,1,1,0.6,70.0
