epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,10,chains,0.1,1,0.9,100.0
-1.0,10,chains,0.1,0.9,0.9,100.0
-1.0,10,chains,1,1,0.9,100.0
-1.0,10,chains,1,0.9,0.9,100.0
-1.0,10,chains,10,1,0.9,100.0
1.0,10,chains,10,1,0.9,80.0
1.0,10,chains,10,0.9,0.9,80.0
1.0,10,chains,10,1,0.8,80.0
1.0,10,chains,10,0.9,0.8,80.0
1.0,10,chains,10,1,0.7,80.0
2.0,10,chains,10,1,0.9,82.5
2.0,10,chains,10,0.9,0.9,82.5
2.0,10,chains,10,1,0.8,82.5
2.0,10,chains,10,0.9,0.8,80.0
2.0,10,chains,10,1,0.7,80.0
4.0,10,chains,10,1,0.9,82.5
4.0,10,chains,10,0.9,0.9,82.5
4.0,10,chains,10,1,0.8,80.0
4.0,10,chains,10,0.9,0.8,80.0
4.0,10,chains,10,0.9,0.7,80.0
8.0,10,chains,10,1,0.9,82.5
8.0,10,chains,1,0.9,0.8,82.5
8.0,10,chains,1,0.9,0.9,80.0
8.0,10,chains,10,0.9,0.9,80.0
8.0,10,chains,1,1,0.8,80.0
16.0,10,chains,1,1,0.9,85.0
16.0,10,chains,10,1,0.9,80.0
16.0,10,chains,10,0.9,0.6,75.0
16.0,10,chains,10,1,0.8,72.5
16.0,10,chains,0.1,1,0.9,70.0
32.0,10,chains,1,0.9,0.6,72.5
32.0,10,chains,10,1,0.6,72.5
32.0,10,chains,10,0.9,0.6,72.5
32.0,10,chains,10,1,0.7,70.0
32.0,10,chains,1,1,0.6,70.0
