epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,8,chains,0.1,1,0.9,100.0
-1.0,8,chains,0.1,0.9,0.9,100.0
-1.0,8,chains,1,1,0.9,100.0
-1.0,8,chains,1,0.9,0.9,100.0
-1.0,8,chains,10,1,0.9,100.0
1.0,8,chains,10,1,0.8,65.0
1.0,8,chains,10,1,0.7,65.0
1.0,8,chains,10,0.9,0.7,65.0
1.0,8,chains,10,1,0.6,65.0
1.0,8,chains,10,0.9,0.6,65.0
2.0,8,chains,10,0.9,0.6,70.0
2.0,8,chains,10,1,0.7,67.5
2.0,8,chains,10,0.9,0.7,67.5
2.0,8,chains,10,1,0.6,67.5
2.0,8,chains,10,1,0.9,65.0
4.0,8,chains,10,0.9,0.6,77.5
4.0,8,chains,10,1,0.6,72.5
4.0,8,chains,10,1,0.7,70.0
4.0,8,chains,10,0.9,0.7,70.0
4.0,8,chains,10,1,0.9,67.5
8.0,8,chains,10,0.9,0.7,77.5
8.0,8,chains,10,0.9,0.6,77.5
8.0,8,chains,10,1,0.8,72.5
8.0,8,chains,10,0.9,0.8,72.5
8.0,8,chains,10,1,0.7,72.5
16.0,8,chains,10,1,0.9,75.0
16.0,8,chains,10,0.9,0.9,75.0
16.0,8,chains,10,1,0.8,75.0
16.0,8,chains,10,0.9,0.8,75.0
16.0,8,chains,10,1,0.7,75.0
32.0,8,chains,10,1,0.9,77.5
32.0,8,chains,10,1,0.8,77.5
32.0,8,chains,10,0.9,0.9,75.0
32.0,8,chains,1,1,0.8,72.5
32.0,8,chains,10,0.9,0.8,72.5
