epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,7,chains,0.1,1,0.9,100.0
-1.0,7,chains,1,1,0.9,100.0
-1.0,7,chains,1,0.9,0.9,100.0
-1.0,7,chains,10,1,0.9,100.0
-1.0,7,chains,0.1,1,0.8,100.0
1.0,7,chains,10,1,0.9,75.0
1.0,7,chains,1,1,0.8,68.75
1.0,7,chains,10,1,0.8,68.75
1.0,7,chains,10,0.9,0.8,68.75
1.0,7,chains,1,1,0.7,68.75
2.0,7,chains,10,1,0.9,71.88
2.0,7,chains,10,0.9,0.9,71.88
2.0,7,chains,10,1,0.8,71.88
2.0,7,chains,1,1,0.7,71.88
2.0,7,chains,1,1,0.6,71.88
4.0,7,chains,10,0.9,0.6,93.75
4.0,7,chains,10,0.9,0.9,87.5
4.0,7,chains,10,0.9,0.8,87.5
4.0,7,chains,10,0.9,0.7,87.5
4.0,7,chains,10,1,0.6,75.0
8.0,7,chains,10,1,0.7,87.5
8.0,7,chains,10,1,0.6,87.5
8.0,7,chains,10,0.9,0.6,87.5
8.0,7,chains,10,1,0.8,84.38
8.0,7,chains,10,1,0.9,81.25
16.0,7,chains,10,1,0.8,84.38
16.0,7,chains,10,0.9,0.9,81.25
16.0,7,chains,10,1,0.6,78.12
16.0,7,chains,10,0.9,0.6,78.12
16.0,7,chains,10,1,0.9,75.0
32.0,7,chains,1,0.9,0.7,90.62
32.0,7,chains,1,1,0.6,90.62
32.0,7,chains,1,1,0.9,87.5
32.0,7,chains,1,0.9,0.9,87.5
32.0,7,chains,10,1,0.9,87.5
