epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy,avg_accuracy
-1.0,8,chains,10,1,0.7,100.0,100.0
-1.0,8,chains,0.1,1,0.7,100.0,100.0
-1.0,8,chains,10,1,0.8,100.0,100.0
1.0,6,chains,10,0.9,0.9,82.5,82.5
1.0,6,chains,10,1,0.9,82.5,82.5
1.0,6,chains,10,1,0.8,82.5,82.5
2.0,10,chains,10,1,0.8,82.5,82.5
2.0,10,chains,10,1,0.9,82.5,82.5
2.0,10,chains,10,0.9,0.9,82.5,82.5
4.0,10,chains,10,0.9,0.9,82.5,81.66666666666667
4.0,10,chains,10,1,0.9,82.5,81.66666666666667
4.0,15,chains,10,1,0.8,80.0,81.66666666666667
8.0,10,chains,1,0.9,0.8,82.5,81.66666666666667
8.0,10,chains,10,1,0.9,82.5,81.66666666666667
8.0,4,chains,10,1,0.9,80.0,81.66666666666667
16.0,10,chains,1,1,0.9,85.0,81.66666666666667
16.0,15,chains,1,0.9,0.6,80.0,81.66666666666667
16.0,10,chains,10,1,0.9,80.0,81.66666666666667
32.0,4,chains,10,0.9,0.6,82.5,80.83333333333333
32.0,15,chains,1,0.9,0.7,80.0,80.83333333333333
32.0,2,chains,10,1,0.8,80.0,80.83333333333333
