epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
-1.0,9,chains,0.1,1,0.9,100.0
-1.0,9,chains,0.1,0.9,0.9,100.0
-1.0,9,chains,1,1,0.9,100.0
-1.0,9,chains,1,0.9,0.9,100.0
-1.0,9,chains,10,1,0.9,100.0
1.0,9,chains,0.1,0.9,0.9,56.25
1.0,9,chains,0.1,0.9,0.8,56.25
1.0,9,chains,0.1,0.9,0.7,56.25
1.0,9,chains,0.1,0.9,0.6,56.25
1.0,9,chains,10,1,0.6,56.25
2.0,9,chains,0.1,0.9,0.9,56.25
2.0,9,chains,0.1,0.9,0.8,56.25
2.0,9,chains,0.1,0.9,0.7,56.25
2.0,9,chains,1,0.9,0.7,56.25
2.0,9,chains,0.1,0.9,0.6,56.25
4.0,9,chains,0.1,1,0.9,56.25
4.0,9,chains,0.1,0.9,0.9,56.25
4.0,9,chains,10,1,0.9,56.25
4.0,9,chains,10,0.9,0.9,56.25
4.0,9,chains,0.1,0.9,0.8,56.25
8.0,9,chains,1,1,0.9,59.38
8.0,9,chains,0.1,1,0.9,56.25
8.0,9,chains,1,0.9,0.9,56.25
8.0,9,chains,0.1,1,0.8,56.25
8.0,9,chains,1,0.9,0.8,56.25
16.0,9,chains,10,1,0.7,68.75
16.0,9,chains,10,0.9,0.7,68.75
16.0,9,chains,10,1,0.6,68.75
16.0,9,chains,10,0.9,0.6,68.75
16.0,9,chains,10,1,0.9,65.62
32.0,9,chains,0.1,1,0.9,71.88
32.0,9,chains,10,0.9,0.8,71.88
32.0,9,chains,0.1,0.9,0.9,68.75
32.0,9,chains,10,1,0.9,68.75
32.0,9,chains,10,0.9,0.9,68.75
