epsilon,hops,dataset,beta,alpha_1,bound_lipschitz,max_accuracy
32.0,1,chains,10,1,0.8,75.0
32.0,1,chains,10,0.9,0.7,75.0
32.0,1,chains,0.1,1,0.9,71.88
32.0,1,chains,0.1,0.9,0.9,71.88
32.0,1,chains,10,1,0.9,71.88
32.0,2,chains,10,1,0.7,71.88
32.0,2,chains,10,1,0.9,68.75
32.0,2,chains,10,0.9,0.9,68.75
32.0,2,chains,10,1,0.8,68.75
32.0,2,chains,10,0.9,0.8,68.75
32.0,3,chains,1,0.9,0.9,87.5
32.0,3,chains,1,0.9,0.8,87.5
32.0,3,chains,10,1,0.9,71.88
32.0,3,chains,1,1,0.9,68.75
32.0,3,chains,10,0.9,0.9,68.75
32.0,4,chains,1,0.9,0.9,78.12
32.0,4,chains,10,0.9,0.9,78.12
32.0,4,chains,10,1,0.8,75.0
32.0,4,chains,1,1,0.9,71.88
32.0,4,chains,10,1,0.9,71.88
32.0,5,chains,1,1,0.8,65.62
32.0,5,chains,1,1,0.9,62.5
32.0,5,chains,10,1,0.9,62.5
32.0,5,chains,10,0.9,0.9,62.5
32.0,5,chains,10,1,0.8,62.5
32.0,6,chains,10,0.9,0.7,90.62
32.0,6,chains,1,0.9,0.6,90.62
32.0,6,chains,10,1,0.6,90.62
32.0,6,chains,10,0.9,0.6,87.5
32.0,6,chains,10,0.9,0.9,81.25
32.0,7,chains,1,0.9,0.7,90.62
32.0,7,chains,1,1,0.6,90.62
32.0,7,chains,1,1,0.9,87.5
32.0,7,chains,1,0.9,0.9,87.5
32.0,7,chains,10,1,0.9,87.5
32.0,8,chains,10,0.9,0.8,71.88
32.0,8,chains,1,0.9,0.7,71.88
32.0,8,chains,1,0.9,0.6,71.88
32.0,8,chains,10,0.9,0.6,71.88
32.0,8,chains,1,0.9,0.9,68.75
32.0,9,chains,0.1,1,0.9,71.88
32.0,9,chains,10,0.9,0.8,71.88
32.0,9,chains,0.1,0.9,0.9,68.75
32.0,9,chains,10,1,0.9,68.75
32.0,9,chains,10,0.9,0.9,68.75
32.0,10,chains,1,0.9,0.8,78.12
32.0,10,chains,10,0.9,0.8,78.12
32.0,10,chains,10,1,0.9,71.88
32.0,10,chains,1,0.9,0.7,71.88
32.0,10,chains,10,0.9,0.7,71.88
32.0,15,chains,1,1,0.9,75.0
32.0,15,chains,10,1,0.9,75.0
32.0,15,chains,10,0.9,0.9,75.0
32.0,15,chains,1,0.9,0.9,71.88
32.0,15,chains,1,1,0.8,71.88
